"rows" "cols" "seed" "sparsity" "animal" "environmental" "human" "ocean"
10 10 1 0.9 0.1 0 0.9 0
100 10 1 0.97 0.1 0 0.9 0
1000 10 1 0.9931 0 0.2 0.8 0
10000 10 1 0.99022 0 0.2 0.8 0
10 100 1 0.894 0.13 0.01 0.86 0
100 100 1 0.977 0.16 0.02 0.78 0.04
1000 100 1 0.99307 0.1 0.14 0.75 0.01
10000 100 1 0.991614 0.07 0.12 0.75 0.06
10 1000 1 0.8941 0.158 0.015 0.822 0.005
100 1000 1 0.97875 0.126 0.066 0.739 0.069
1000 1000 1 0.992307 0.104 0.141 0.708 0.047
10000 1000 1 0.9917599 0.087 0.146 0.726 0.041
10 10000 1 0.89308 0.1598 0.0093 0.8282 0.0027
100 10000 1 0.978956 0.1274 0.0831 0.7101 0.0794
1000 10000 1 0.9922039 0.0891 0.1467 0.7154 0.0488
10000 10000 1 0.99193777 0.0887 0.1538 0.7164 0.0411
10 1e+05 1 0.893462 0.15432 0.01011 0.83274 0.00283
100 1e+05 1 0.9788099 0.13034 0.08204 0.70633 0.08129
1000 1e+05 1 0.99213883 0.09118 0.14556 0.7137 0.04956
10000 1e+05 1 0.991861965 0.08744 0.1523 0.71538 0.04488
