"rows" "cols" "seed" "sparsity" "animal" "environmental" "human" "ocean"
10 10 0 0.9 0.1 0 0.9 0
100 10 0 0.975 0.2 0 0.7 0.1
1000 10 0 0.99 0.2 0.2 0.6 0
10000 10 0 0.99076 0.1 0 0.8 0.1
10 100 0 0.894 0.1 0.02 0.87 0.01
100 100 0 0.9776 0.11 0.1 0.74 0.05
1000 100 0 0.99288 0.08 0.08 0.78 0.06
10000 100 0 0.991372 0.12 0.13 0.71 0.04
10 1000 0 0.8932 0.134 0.024 0.838 0.004
100 1000 0 0.97892 0.124 0.063 0.746 0.067
1000 1000 0 0.99276 0.089 0.144 0.714 0.053
10000 1000 0 0.991985 0.087 0.153 0.716 0.044
10 10000 0 0.89319 0.1381 0.0195 0.8391 0.0033
100 10000 0 0.97896 0.1292 0.0717 0.7183 0.0808
1000 10000 0 0.9921288 0.0904 0.1452 0.7153 0.0491
10000 10000 0 0.99175327 0.0843 0.1507 0.7171 0.0479
10 1e+05 0 0.89357 0.13259 0.01927 0.84518 0.00296
100 1e+05 0 0.9787505 0.12934 0.07268 0.71416 0.08382
1000 1e+05 0 0.9920713 0.09209 0.14173 0.71563 0.05055
10000 1e+05 0 0.991769374 0.08776 0.1532 0.71367 0.04537
10 10 2 0.9 0.4 0.2 0 0.4
100 10 2 0.981 0.3 0.3 0.3 0.1
1000 10 2 0.9918 0 0.3 0.7 0
10000 10 2 0.99479 0 0.2 0.7 0.1
10 100 2 0.894 0.34 0.18 0.11 0.37
100 100 2 0.9799 0.21 0.21 0.41 0.17
1000 100 2 0.99267 0.05 0.11 0.8 0.04
10000 100 2 0.992672 0.11 0.16 0.68 0.05
10 1000 2 0.8958 0.262 0.174 0.136 0.428
100 1000 2 0.98135 0.184 0.214 0.455 0.147
1000 1000 2 0.992556 0.083 0.139 0.721 0.057
10000 1000 2 0.9920359 0.11 0.163 0.666 0.061
10 10000 2 0.89611 0.272 0.1855 0.1356 0.4069
100 10000 2 0.981785 0.1859 0.2107 0.4544 0.149
1000 10000 2 0.992486 0.0895 0.1312 0.7344 0.0449
10000 10000 2 0.99203547 0.0908 0.1485 0.71 0.0507
10 1e+05 2 0.896217 0.27111 0.18247 0.13545 0.41097
100 1e+05 2 0.9815872 0.18902 0.21405 0.44786 0.14907
1000 1e+05 2 0.99246495 0.08794 0.13405 0.73118 0.04683
10000 1e+05 2 0.992044199 0.08828 0.15173 0.71328 0.04671
