Representative_Sequence	total	CL3	CC1	SV1	M31Fcsw	M11Fcsw	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	NP2	NP3	NP5	TRRsed1	TRRsed2	TRRsed3	TS28	TS29	Even1	Even2	Even3
4_29	0.0646886075390915	6.07248580267001e-06	6.67743591339248e-06	2.58346397049477e-07	2.58346397049477e-07	9.23043345093441e-07	1.81304375966087e-06	7.96583190697672e-06	2.58346397049477e-07	2.84181036754425e-06	7.40663471843348e-05	2.13446173603172e-05	0.000175134909588882	0.00534098384821603	0.0227231858860483	0.0358068371208704	0.000166995810320223	7.56332181580719e-06	2.5568587998224e-06	0.000174504730784573	3.12824521272018e-05	0.000122567544048713	1.78326431834236e-06	4.17519176978627e-06	5.93886279386006e-06	2.58346397049477e-07	2.35973636144142e-06
4041AA30	0.000983490492952493	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	7.75039191148432e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.65296872775731e-05	2.58346397049477e-07	0.000615598987065905	5.12833000955462e-06	0.00033813966960467	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.151851862653e-06	2.58346397049477e-07	2.58346397049477e-07
A17	0.0412019286875639	0.00308465930107874	0.00907685092250605	0.00139296483934835	3.37750042009535e-06	9.23043345093441e-07	6.47713584749505e-06	0.000208360455165085	2.54631353069424e-05	2.84181036754425e-06	1.2559679861597e-05	4.94418438888675e-06	0.000245829690453665	0.00874649543044229	0.00425521398665397	0.00439340801132631	3.20178633347968e-05	7.56332181580719e-06	1.17509084109141e-05	0.00392080199511634	0.00263730733346	0.003085168109389	6.35801808222102e-06	6.13361445615467e-06	1.63531428546795e-05	1.7846907734812e-05	2.58346397049477e-07
Abiotrophia	0.00499115096703093	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.5877402931374e-06	0.00406112785753801	0.000462707476992684	0.000277511024405871	4.90858154394007e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	8.73815385908115e-05	1.57703992621256e-05	1.38482572472343e-05	2.58346397049477e-07	6.09694496744698e-05	1.20509912985124e-06	2.58346397049477e-07	2.58346397049477e-07
Acaryochloris	7.21601141392617e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	5.25614253049612e-05	2.58346397049477e-07	1.33983753051131e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Acetivibrio	0.000123835401723821	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	9.23043345093441e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.06979960903967e-06	2.0597522497704e-05	1.33983753051131e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.23065578573541e-05	1.38482572472343e-05	1.78326431834236e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Acetobacter	0.000115225338060068	0.000107819925401029	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.20509912985124e-06	2.58346397049477e-07	2.58346397049477e-07
Acetobacterium	0.000117660078895965	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.6749972092971e-05	1.65296872775731e-05	4.84384523932827e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Acholeplasma	0.000308349753233631	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.1120891520131e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.06979960903967e-06	2.58346397049477e-07	2.58346397049477e-07	1.61381048659232e-05	0.000251062502441064	2.55419828275517e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Achromatium	0.0029808871786789	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.5595436245227e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.14206802178047e-05	6.99957849409318e-05	1.65296872775731e-05	9.01836566909187e-06	2.58346397049477e-07	2.69333820330205e-06	9.45239600814118e-06	0.000610120691753383	0.00152043952717451	0.000720523621456845	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Achromobacter	0.000463756629953194	2.64219737223419e-05	4.53773940794481e-06	3.59817012115332e-06	2.58346397049477e-07	2.58346397049477e-07	8.03183321010645e-06	0.000204506712410121	1.28607408519959e-05	2.58346397049477e-07	2.58346397049477e-07	6.50791052841317e-05	3.37453478593152e-05	2.35041592450102e-05	2.58346397049477e-07	1.33983753051131e-05	2.58346397049477e-07	4.40881989095958e-05	4.85537120259533e-06	2.58346397049477e-07	1.57703992621256e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Acidaminococcus	0.00728988570108436	3.16541609985974e-06	2.39804290249714e-06	3.59817012115332e-06	0.00135163182688167	0.00571199922093882	2.58346397049477e-07	0.000165969284860485	6.5595436245227e-06	2.3251175734453e-06	2.58346397049477e-07	4.1632113902472e-06	2.58346397049477e-07	1.18812528210299e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.69333820330205e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.38482572472343e-05	2.58346397049477e-07	4.17519176978627e-06	1.20509912985124e-06	1.43091715290031e-06	2.58346397049477e-07
