OTU	Size	Taxonomy
4_29	0.0646886075390915	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;FW;4_29
4041AA30	0.000983490492952493	Bacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Cyanobacteriaceae;4041AA30
A17	0.0412019286875639	Bacteria;Planctomycetes;Planctomycea;Pirellulales;Pirellulaceae;A17
Abiotrophia	0.00499115096703093	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia
Acaryochloris	7.21601141392617e-05	Bacteria;Cyanobacteria;Synechococcophycideae;Synechococcales;Acaryochloridaceae;Acaryochloris
Acetivibrio	0.000123835401723821	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio
Acetobacter	0.000115225338060068	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
Acetobacterium	0.000117660078895965	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium
Acholeplasma	0.000308349753233631	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
Achromatium	0.0029808871786789	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Thiotrichaceae;Achromatium
Achromobacter	0.000463756629953194	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
Acidaminococcus	0.00728988570108436	Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Acidaminococcus
Acidiphilium	0.000272213776397709	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium
Acidisoma	0.000185560008291535	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma
Acidobacterium	0.000531883058294738	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium
Acidocella	0.000285033089279858	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella
Acidomonas	4.37527730501787e-05	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidomonas
Acidovorax	0.17408186741363	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
Acinetobacter	0.166231229914682	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
Acrocarpospora	8.43557741629419e-05	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptosporangiaceae;Acrocarpospora
Actinoallomurus	0.000434302893184581	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Thermomonosporaceae;Actinoallomurus
Actinoalloteichus	0.00355065374657146	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Actinoalloteichus
Actinobacillus	0.162022693071906	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus
Actinobaculum	7.10586987614802e-05	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum
Actinocatenispora	3.38573379996036e-05	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinocatenispora
Actinocorallia	0.000187873696744847	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Thermomonosporaceae;Actinocorallia
Actinokineospora	0.000711769191214864	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Actinokineospora
Actinomadura	0.00169025448383588	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Thermomonosporaceae;Actinomadura
Actinomyces	0.0709571107585952	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
Actinomycetospora	0.00180628768140412	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Actinomycetospora
Actinoplanes	0.0117126191384006	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes
Actinopolymorpha	0.000131610013566147	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Actinopolymorpha
Actinotalea	0.00133396386943615	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Actinotalea
Adhaeribacter	0.00159691442088864	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Adhaeribacter
Adlercreutzia	0.000516758445485478	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Adlercreutzia
Aequorivita	0.000112353225740039	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Aequorivita
Aerococcus	5.55615949566197e-05	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus
Aeromicrobium	0.00176452838908899	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Aeromicrobium
Aeromonas	0.00190953672909845	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas
Aestuariimicrobium	8.85670282873408e-06	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Aestuariimicrobium
Afifella	0.00126458581356745	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Afifella
Afipia	0.000467443864694814	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia
Aggregatibacter	0.00989561874489148	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter
Agrobacterium	0.0152377601249316	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium
Agrococcus	0.000327887794677593	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agrococcus
Agromyces	0.00931890612130264	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces
Akkermansia	0.0186907421494504	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia
Alcaligenes	1.46915458009934e-05	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes
Alcanivorax	0.00164917865120872	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax
Algibacter	0.000327697630409147	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Algibacter
Algoriphagus	0.0126266343575271	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cyclobacteriaceae;Algoriphagus
Alicycliphilus	6.2370979380177e-05	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Alicycliphilus
Alicyclobacillus	0.000810000228100224	Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus
Aliivibrio	0.000605884916354982	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Aliivibrio
