OTU	total	CL3	CC1	SV1	M31Fcsw	M11Fcsw	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	NP2	NP3	NP5	TRRsed1	TRRsed2	TRRsed3	TS28	TS29	Even1	Even2	Even3
4_29	14844	2	3	0	0	1	1	2	0	5	6	27	47	919	5586	8175	42	3	1	2	2	9	1	2	6	0	2
4041AA30	311	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	155	2	147	0	0	0	0	0	2	0	0
A17	9916	1061	4242	417	4	1	4	54	4	5	1	6	66	1505	1046	1003	8	3	5	45	170	227	4	3	17	15	0
Abiotrophia	2822	0	0	0	0	2	2612	120	44	9	0	0	0	0	0	0	0	0	0	1	1	1	0	31	1	0	0
Acaryochloris	12	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0
Acetivibrio	16	0	0	0	0	1	0	0	0	0	0	0	0	1	5	3	0	0	0	0	4	1	1	0	0	0	0
Acetobacter	38	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acetobacterium	23	0	0	0	0	0	0	0	0	0	0	0	0	8	4	11	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma	120	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	103	11	0	0	0	0	0	0	0	0
Achromatium	185	0	0	0	0	0	0	0	1	0	0	0	3	12	4	2	0	1	4	7	98	53	0	0	0	0	0
Achromobacter	192	9	2	1	0	0	5	53	2	0	0	83	9	4	0	3	0	18	2	0	1	0	0	0	0	0	0
Acidaminococcus	10390	1	1	1	1733	8593	0	43	1	4	0	5	0	2	0	0	0	1	0	0	0	1	0	2	1	1	0
Acidiphilium	82	35	13	9	0	0	0	2	0	0	0	0	0	3	11	8	0	0	0	0	0	0	0	0	1	0	0
Acidisoma	60	57	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Acidobacterium	182	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Acidocella	89	53	10	0	1	0	0	16	1	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0
Acidomonas	11	1	4	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax	64064	564	1596	191	30	17	612	3849	167	51	296	29059	2867	5737	8606	9844	87	319	43	16	13	6	2	24	40	12	16
Acinetobacter	43778	3496	1039	1180	3	6	2624	28420	4430	105	30	96	192	39	37	16	8	1311	478	14	51	13	8	2	79	54	47
Acrocarpospora	28	19	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Actinoallomurus	99	46	36	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0
Actinoalloteichus	1105	364	45	680	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	3	1	5
Actinobacillus	169183	14	30	9	62	15	20210	578	2997	141481	2660	486	36	83	45	46	9	30	228	10	19	10	23	8	31	41	22
Actinobaculum	39	0	0	0	0	0	37	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinocatenispora	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Actinocorallia	35	4	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0
Actinokineospora	285	5	199	57	0	0	4	7	1	0	0	5	0	1	0	1	0	0	1	0	1	0	0	0	2	0	1
Actinomadura	391	50	28	234	0	0	3	13	7	9	1	1	0	5	4	7	0	0	0	1	19	9	0	0	0	0	0
Actinomyces	27406	32	7	4	22	13	11657	517	6478	8127	378	41	5	12	14	7	9	7	12	7	1	1	17	29	3	3	3
Actinomycetospora	499	22	150	226	0	0	12	35	33	0	0	0	0	0	1	2	0	0	0	1	9	4	0	0	1	3	0
Actinoplanes	4032	171	1638	2066	1	2	32	38	41	1	0	3	1	1	2	1	0	1	0	2	6	2	0	0	1	11	11
Actinopolymorpha	27	11	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Actinotalea	369	2	63	94	0	0	39	43	31	0	0	2	1	4	33	51	0	1	1	0	3	1	0	0	0	0	0
Adhaeribacter	495	8	28	388	0	0	40	19	6	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	2
Adlercreutzia	325	1	0	1	70	31	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	32	188	0	0	0
Aequorivita	12	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	2	0	6	0	0	0	0	0	0
Aerococcus	26	0	0	0	0	0	21	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromicrobium	616	16	309	187	0	0	28	42	25	1	0	0	2	0	2	0	0	0	0	0	2	1	0	1	0	0	0
Aeromonas	858	1	3	0	1	1	1	164	11	1	1	222	33	22	6	1	0	64	2	2	1	3	2	1	137	89	89
