OTU	Size	Taxonomy
4_29	14844	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;FW;4_29;
4041AA30	311	Bacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Cyanobacteriaceae;4041AA30;
A17	9916	Bacteria;Planctomycetes;Planctomycea;Pirellulales;Pirellulaceae;A17;
Abiotrophia	2822	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;
Acaryochloris	12	Bacteria;Cyanobacteria;Synechococcophycideae;Synechococcales;Acaryochloridaceae;Acaryochloris;
Acetivibrio	16	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio;
Acetobacter	38	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;
Acetobacterium	23	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;
Acholeplasma	120	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;
Achromatium	185	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Thiotrichaceae;Achromatium;
Achromobacter	192	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;
Acidaminococcus	10390	Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Acidaminococcus;
Acidiphilium	82	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;
Acidisoma	60	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;
Acidobacterium	182	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium;
Acidocella	89	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;
Acidomonas	11	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidomonas;
Acidovorax	64064	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;
Acinetobacter	43778	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;
Acrocarpospora	28	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptosporangiaceae;Acrocarpospora;
Actinoallomurus	99	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Thermomonosporaceae;Actinoallomurus;
Actinoalloteichus	1105	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Actinoalloteichus;
Actinobacillus	169183	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;
Actinobaculum	39	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum;
